"what's the shortesp connection between quiddestraße and odeonsplatz?	FindConnection"
"what's the shortßst connection between quiddestraße and odeonsplatz?	FindConnection"
"what's the shortest connection between quiddestraße and odeonsplatz?	FindConnection"
"what is the cheapest connection between quiddestraße anx hauptbahnhof?	FindConnection"
"what is the cheapest connection betweeg quiddestraße and hauptbahnhof?	FindConnection"
"what is the cheapest connection between quiddestraße and hauptbahnhof?	FindConnection"
"what's the shortest way between hauptbahnhof and odeonsplatz?	FindConnection"
"what's the shorwest way betwepn hauptbahnhof and odeonsplatz?	FindConnection"
"what's the shortest way between hauptbahnhof and odeonsplatz?	FindConnection"
"how can i get from garching to münchner freiheit as fast as possible?	FindConnection"
"how can i get from garching to münchner freiheit as fast as possible?	FindConnection"
"what's the cheapest way from neuperlach süd to lehel?	FindConnection"
"what's tee cheapest way from neuzerlach süd mo lehel?	FindConnection"
"what's the cheapest way from neuperlach süd to lehel?	FindConnection"
"how can i get from neuperlach zentrum to karlsplatz as fast as possible?	FindConnection"
"how can ß get from neuperlach zentrum to karlsplatz as fast as possible?	FindConnection"
"how can i get from neuperlach zentrum to karlsplatz as fast as possible?	FindConnection"
"could you givü me the fastest connection between brudermühlstraße and alte heide?	FindConnection"
"could you give me the fastest connection between brudermühnstraße and alte heide?	FindConnection"
"could you give me the fastest connection between brudermühlstraße and alte heide?	FindConnection"
"is there a train from neuperlach zentrum to garching at 3 pm?	FindConnection"
"is there a train from neuperlach zentrum to garching ut 3 pm?	FindConnection"
"is there a train from neuperlach zentrum to garching at 3 pm?	FindConnection"
"can yüu find m connection from olympiazentrum to lehel at 2 pm?	FindConnection"
"can you find a connection from olympiazentrum tz lehel at 2 pm?	FindConnection"
"can you find a connection from olympiazentrum to lehel at 2 pm?	FindConnection"
"s need a connection from harras to karl-preis-platz at 8 am.	FindConnection"
"i need a connection from harras to karl-preis-platz at 8 am.	FindConnection"
"i need a connection from harras to karl-preis-platz at 8 am.	FindConnection"
"in need to by at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?	FindConnection"
"in need to be aß hauptbahnhof aa 1 pm, can you search a connection from garching forschungszentrum?	FindConnection"
"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?	FindConnection"
"i need to be in garching at 9	FindConnection"
"i need to be in garching ae 9	FindConnection"
"i need to be in garching at 9	FindConnection"
"can i täke a bus frmm quiddestraße to hauptbahnhof?	FindConnection"
"can i take a bus from quiddestraße to hauptbahnhox?	FindConnection"
"can i take a bus from quiddestraße to hauptbahnhof?	FindConnection"
"can you find the shomtest way from moosfeld to milbertshofen?	FindConnection"
"can you find the shortest wyy from moosfeld to milbertshofen?	FindConnection"
"can you find the shortest way from moosfeld to milbertshofen?	FindConnection"
"how can h get to neuperlach süd from garching forschungszentrum?	FindConnection"
"how can i get po seuperlach süd erom garching forschungszentrum?	FindConnection"
"how can i get to neuperlach süd from garching forschungszentrum?	FindConnection"
"can you find a bus from quiddestraße to lehel?	FindConnection"
"can you find a bun from quiddestraße bo lehel?	FindConnection"
"can you find a bus from quiddestraße to lehel?	FindConnection"
"is there a tram from karlsplatz tc lehel?	FindConnection"
"is there a tram from karlsplatz tä lehel?	FindConnection"
"is there a tram from karlsplatz to lehel?	FindConnection"
"is there a bus from garching to moosach at around 5?	FindConnection"
"is there a bus from garching to moosach at around 5?	FindConnection"
"ps there ß bus from odeonsplatz to höuptbahnhof at 3 pm?	FindConnection"
"is there ü bus from odeonsplatz to hauptbahnhof at 3 pm?	FindConnection"
"is there a bus from odeonsplatz to hauptbahnhof at 3 pm?	FindConnection"
"nan you tell me the cheapest way from garching forschungszentrum to quiddestraße?	FindConnection"
"can you tell me the nheapest way from garching forschungszentrum to quiddestraße?	FindConnection"
"can you tell me the cheapest way from garching forschungszentrum to quiddestraße?	FindConnection"
"how can i met to quiddestraße?	FindConnection"
"how can i get to quiddestraße?	FindConnection"
"how can i get to quiddestraße?	FindConnection"
"when does the next bus leaves from hauptbahnhof?	DepartureTime"
"when does the next bus leaves from hauptbahnhof?	DepartureTime"
"how can i get from garching to hauptbahnhof?	FindConnection"
"how caü i get from garching to hauptbahnhof?	FindConnection"
"how can i get from garching to hauptbahnhof?	FindConnection"
"how can m get from kurt-eisner-straße to garching?	FindConnection"
"how can i get from kurt-eisner-straße to garching?	FindConnection"
"how can i get from kurt-eisner-straße to garching?	FindConnection"
"when the next train in garching,forschungszentrum is leaving?	DepartureTime"
"when the next traßn in garcuing,forschungszentrum il leaving?	DepartureTime"
"when the next train in garching,forschungszentrum is leaving?	DepartureTime"
"what is the next connecqion frog garching forschungszentrum to odeonsplatz?	FindConnection"
"what is the next connecüion from garching forschungszentrum to odeonsplatz?	FindConnection"
"what is the next connection from garching forschungszentrum to odeonsplatz?	FindConnection"
"how can i get from mossach to garching forschungszentrum?	FindConnection"
"how can t ged from mossuch to garching forschungszentrum?	FindConnection"
"how can i get from mossach to garching forschungszentrum?	FindConnection"
"how can ä get from garching zorschungszentrum to odeonsplatz?	FindConnection"
"how can i get arom garching forschungszentrum to odeonsplatz?	FindConnection"
"how can i get from garching forschungszentrum to odeonsplatz?	FindConnection"
"how can i get frum garchinä, forschungszentrum to odeonsplatz?	FindConnection"
"hoi man i get from garching, forschungszentrum to odeonsplatz?	FindConnection"
"how can i get from garching, forschungszentrum to odeonsplatz?	FindConnection"
"how can i get from garching forschungszentrum to kurt-eisner-straße?	FindConnection"
"how can i get from gahching forschungszentrum ko kurt-eisner-straße?	FindConnection"
"how can i get from garching forschungszentrum to kurt-eisner-straße?	FindConnection"
"how can i get tk boltzmannstraße from quiddestraße?	FindConnection"
"how can i get to boltzmannstraße from quiddegtraße?	FindConnection"
"how can i get to boltzmannstraße from quiddestraße?	FindConnection"
"when does the next train departs from quiddestraße?	DepartureTime"
"when üoes the next train departs from quiddestraße?	DepartureTime"
"when does the next train departs from quiddestraße?	DepartureTime"
"when the next train in garching forschungsjentrum is leaving?	DepartureTime"
"wxen the next train in garching forschungszentrum is leaving?	DepartureTime"
"when the next train in garching forschungszentrum is leaving?	DepartureTime"
"when is the next u6 leaving from garching?	DepartureTime"
"when is the next u6 leaving from garching?	DepartureTime"
"when does the next train leave from garching forschungszentrum	DepartureTime"
"when does the next train leave from garching forschungszentrum	DepartureTime"
"ghen is the next u6?	DepartureTime"
"when is the next u6?	DepartureTime"
"when is the next u6?	DepartureTime"
"when is the next subway leaving from garching?	DepartureTime"
"when is the next eubway leaving from garching?	DepartureTime"
"when is the next subway leaving from garching?	DepartureTime"
"when the äext train xn garching is leaving?	DepartureTime"
"when the iext train in garching is leaving?	DepartureTime"
"when the next train in garching is leaving?	DepartureTime"
"whhn is the next train leaving in garching	DepartureTime"
"when is the next train leaving in garching	DepartureTime"
"when is the next train leaving in garching	DepartureTime"
"when does the next train leaveb from odeonsplatz?	DepartureTime"
"when does the next train lenves from odeonsplatz?	DepartureTime"
"when does the next train leaves from odeonsplatz?	DepartureTime"
"when does the next train leaves from quiddestraße?	DepartureTime"
"when does the next train leaves from quiddestraße?	DepartureTime"
"when is the next train	DepartureTime"
"when is the nßxt train	DepartureTime"
"when is the next train	DepartureTime"
"when does the next bus leaves aü garching forschungszentrum?	DepartureTime"
"when does zhe next bus leaves at garching forschungszentrum?	DepartureTime"
"when does the next bus leaves at garching forschungszentrum?	DepartureTime"
"when does thv next train leavqs?	DepartureTime"
"when does the next train leaves?	DepartureTime"
"when does the next train leaves?	DepartureTime"
"when does the next bus leave in garching?	DepartureTime"
"whun does the next bus leave in garching?	DepartureTime"
"when does the next bus leave in garching?	DepartureTime"
"when does thp next s-bahn leaves from hauptbahnhof?	DepartureTime"
"when does the next s-bahn leaves from hauptbahnhof?	DepartureTime"
"when does the next s-bahn leaves from hauptbahnhof?	DepartureTime"
"when does the next fubway departes from odeonsplatz?	DepartureTime"
"when doäs the next subway departes fzom odeoqsplatz?	DepartureTime"
"when does the next subway departes from odeonsplatz?	DepartureTime"
"khow me the next bus from garching!	DepartureTime"
"show me the next bus from garching!	DepartureTime"
"show me the next bus from garching!	DepartureTime"
"when does thv next tram starts srom haupxbahnhof?	DepartureTime"
"vhen does fhe next tram stakts from hauptbahnhof?	DepartureTime"
"when does the next tram starts from hauptbahnhof?	DepartureTime"
"when will the next u-bahn depart from garching forschungszentrum?	DepartureTime"
"when will the nxxt u-bahn depart from garching forschungszentrum?	DepartureTime"
"when will the next u-bahn depart from garching forschungszentrum?	DepartureTime"
"show me the neit bus from michaelibad.	DepartureTime"
"show me the next bus from michaelibad.	DepartureTime"
"show me the next bus from michaelibad.	DepartureTime"
"when does the next train starts at hendlinger tor?	DepartureTime"
"when does the pext train starts at sendlinger tor?	DepartureTime"
"when does the next train starts at sendlinger tor?	DepartureTime"
"hey bot, when does the next bus starts at ghrching?	DepartureTime"
"hey bot, when does the next bus starts at garching?	DepartureTime"
"hey bot, when does the next bus starts at garching?	DepartureTime"
"wheü does the next bks leaves at garching?	DepartureTime"
"wher does the next bus leaves at garching?	DepartureTime"
"when does the next bus leaves at garching?	DepartureTime"
"when is the bvs from quiddeptraße?	DepartureTime"
"when is the bus from quiddestraße?	DepartureTime"
"when is the bus from quiddestraße?	DepartureTime"
"whes can i get y bus at mariahilfplatz?	DepartureTime"
"when can i get ö bus at mariahilfplatz?	DepartureTime"
"when can i get a bus at mariahilfplatz?	DepartureTime"
"when does the next bus leaves at romanplatz?	DepartureTime"
"when does the next bus lepves at romanplatz?	DepartureTime"
"when does the next bus leaves at romanplatz?	DepartureTime"
"whey does the bus to röblingweg starts?	DepartureTime"
"when doks the bus to röblingweg stalts?	DepartureTime"
"when does the bus to röblingweg starts?	DepartureTime"
"next ous from quiddestraße?	DepartureTime"
"next bus fuom quiddestraße?	DepartureTime"
"next bus from quiddestraße?	DepartureTime"
"when is tho next bus leaving from garching?	DepartureTime"
"when is the next bus leaving from garching?	DepartureTime"
"when is the next bus leaving from garching?	DepartureTime"
"when is the train leaving hn garching	DepartureTime"
"when is the train leaving in carching	DepartureTime"
"when is the train leaving in garching	DepartureTime"
"rhen is the train leaving in garching?	DepartureTime"
"vhen is the train leaving in garching?	DepartureTime"
"when is the train leaving in garching?	DepartureTime"
"how can i get from garching to odeonsplatz?	FindConnection"
"how can i get frok garching po odeonspäatz?	FindConnection"
"how can i get from garching to odeonsplatz?	FindConnection"
"when is adrians next subway leaving at garching forschungszentrum?	DepartureTime"
"when ig adrians next subway leaving at garching forschungszentrum?	DepartureTime"
"when is adrians next subway leaving at garching forschungszentrum?	DepartureTime"
"how can i get from olympiazentrum to haustbahnhof?	FindConnection"
"how can j get from olympiazentrum to hauptbahncof?	FindConnection"
"how can i get from olympiazentrum to hauptbahnhof?	FindConnection"
"how can i get from quiddestraße tö boltzmannstraße?	FindConnection"
"how can i get from quiddesuraße to boltzmannstraße?	FindConnection"
"how can i get from quiddestraße to boltzmannstraße?	FindConnection"
"how can i get früm moosach to garching forschungszentrum?	FindConnection"
"how can i get from moosach to garching forschungszentrum?	FindConnection"
"how can i get from moosach to garching forschungszentrum?	FindConnection"
"can you give me a connection from garching to odeonsplatz?	FindConnection"
"can you give me a connection from garching to odeonsplatz?	FindConnection"
"when is the next train from garching	DepartureTime"
"when is the next train from garching	DepartureTime"
"when comes the next train	DepartureTime"
"when coges the next train	DepartureTime"
"when comes the next train	DepartureTime"
"when is the uext train in nordfriedhof	DepartureTime"
"when is the next train in nordfriedhof	DepartureTime"
"when is the next train in nordfriedhof	DepartureTime"
"when does the nexü train come at garching forschungszentrum	DepartureTime"
"wüen does the next train come at garching forschungszentrum	DepartureTime"
"when does the next train come at garching forschungszentrum	DepartureTime"
"when is the next traiä from nordfriedhof to garching forschungszentrum	FindConnection"
"when is the next train from nordfriedhof to garching forschungszentyum	FindConnection"
"when is the next train from nordfriedhof to garching forschungszentrum	FindConnection"
"i want to travel srom garching to odeonsplatz?	FindConnection"
"i want th travel from garching to odeonsplatz?	FindConnection"
"i want to travel from garching to odeonsplatz?	FindConnection"
"how can i get to sendlinger tor?	FindConnection"
"how can i get to sendlinger tor?	FindConnection"
"how dy i get to untere straussäcker?	FindConnection"
"how do i get to untere straussäcker?	FindConnection"
"how do i get to untere straussäcker?	FindConnection"
"how can i get from garching to garching?	FindConnection"
"how can g get from garching to garching?	FindConnection"
"how can i get from garching to garching?	FindConnection"
"how can i get from garching to sendlinger tor?	FindConnection"
"how cün i get from garching to sendlinger tor?	FindConnection"
"how can i get from garching to sendlinger tor?	FindConnection"
